"Match ID","Match Score","Team","Player","K","D","A","Damage","ADR","ADR Differ...","HLTV Rating 2.1","KAST, %","Open kills","Trade kills"
"2704687797834720","2-19","Team 2","inferno resident","48","28","9","4900","140","+53","1.91","80","9","6"
"2704687797834720","2-19","Team 2","FWobbles","31","24","8","3337","95","+21","1.26","85","0","2"
"2704687797834720","2-19","Team 2","Pam Bondi's Socks","27","26","9","3115","89","+3","1.24","74","8","3"
"2704687797834720","2-19","Team 2","Berome","20","23","5","1793","51","-26","0.81","57","1","2"
"2704687797834720","2-19","Team 2","BerserkBoris","8","26","8","1345","38","-41","0.48","57","1","1"
"2704687797834720","2-19","Team 1","󠀡󠀡Chris","31","25","9","3607","103","+25","1.3","80","1","4"
"2704687797834720","2-19","Team 1","fdarg (real))","28","27","6","3167","90","+7","1.25","68","8","5"
"2704687797834720","2-19","Team 1","󠀡󠀡 󠀡✪ Imma Lexus 🚗","25","21","3","2382","79","-2","1.11","69","2","3"
"2704687797834720","2-19","Team 1","9inthem(real)","21","29","4","2246","64","-22","0.8","60","3","3"
"2704687797834720","2-19","Team 1","stellated dodecahedrons","17","32","6","2004","57","-34","0.65","62","2","3"
