"Match ID","Match Score","Team","Player","K","D","A","Damage","ADR","ADR Differ...","HLTV Rating 2.1","KAST, %","Open kills","Trade kills"
"1889029267221700","2-13","Team 2","󠀡󠀡 󠀡✪ Imma Lexus 🚗","24","14","6","2386","104","+37","1.59","86","4","3"
"1889029267221700","2-13","Team 2","Pam Bondi's Socks","22","16","9","2199","96","+16","1.35","78","3","6"
"1889029267221700","2-13","Team 2","BerserkBoris","19","14","3","1750","76","-9","1.12","78","2","1"
"1889029267221700","2-13","Team 2","FWobbles","17","16","7","1909","83","+3","1.12","73","3","2"
"1889029267221700","2-13","Team 2","󠀡󠀡Chris","11","16","12","1569","68","-7","0.89","78","1","0"
"1889029267221700","2-13","Team 1","fdarg (real))","25","18","7","2728","119","+32","1.48","73","3","2"
"1889029267221700","2-13","Team 1","Berome","18","19","4","2091","91","+5","1.1","60","3","2"
"1889029267221700","2-13","Team 1","Give Me My Jeff Back","11","19","3","1434","62","-22","0.72","52","3","3"
"1889029267221700","2-13","Team 1","inferno resident","11","19","6","1311","57","-26","0.67","56","0","3"
"1889029267221700","2-13","Team 1","stellated dodecahedrons","11","18","4","1102","48","-33","0.64","56","1","3"
