"Match ID","Match Score","Team","Player","K","D","A","Damage","ADR","ADR Differ...","HLTV Rating 2.1","KAST, %","Open kills","Trade kills"
"505193813233850","2-22","Team 2","stellated dodecahedrons","35","26","9","3607","88","+14","1.27","75","2","6"
"505193813233850","2-22","Team 2","sheezking1980","29","39","14","3880","95","-3","1.04","70","7","3"
"505193813233850","2-22","Team 2","߷","29","34","6","2988","73","-17","0.94","63","4","9"
"505193813233850","2-22","Team 2","FWobbles","29","29","4","2320","57","-23","0.92","65","1","8"
"505193813233850","2-22","Team 2","9inthem(real)","23","33","12","2801","68","-21","0.83","82","0","5"
"505193813233850","2-22","Team 2","pancake","15","37","7","1783","43","-49","0.53","65","2","3"
"505193813233850","2-22","Team 1","inferno resident","61","35","9","6292","153","+62","2.08","75","5","5"
"505193813233850","2-22","Team 1","GibboCounterStrike","42","28","10","4592","112","+34","1.49","78","4","9"
"505193813233850","2-22","Team 1","BerserkBoris","32","35","11","3366","82","-9","1.14","65","11","3"
"505193813233850","2-22","Team 1","riedymj","37","34","7","3559","87","-3","1.13","73","3","4"
"505193813233850","2-22","Team 1","Berome","20","30","16","2745","67","-15","0.82","73","2","1"
