"Match ID","Match Score","Team","Player","K","D","A","Damage","ADR","ADR Differ...","HLTV Rating 2.1","KAST, %","Open kills","Trade kills"
"800941220119940","13-5","Team Israel","Hy'Te.Wouldw0w~","18","10","3","1702","95","+29","1.49","88","1","3"
"800941220119940","13-5","Team Israel","inferno resident","15","9","4","1607","89","+26","1.36","77","3","3"
"800941220119940","13-5","Team Israel","Give Me My Jeff Back","11","15","7","1596","89","+20","1.11","77","3","1"
"800941220119940","13-5","Team Israel","riedymj","13","12","2","1182","66","-2","1.03","61","2","3"
"800941220119940","13-5","Team Israel","Berome","11","10","6","1159","64","-2","1.03","83","0","0"
"800941220119940","13-5","Team Gibbo","GibboCounterStrike","6","6","4","829","92","-5","1.2","88","2","4"
"800941220119940","13-5","Team Gibbo","󠀡󠀡Chris","14","15","3","1386","77","-21","1.01","72","2","5"
"800941220119940","13-5","Team Gibbo","FWobbles","11","15","2","1287","72","-14","0.98","83","2","3"
"800941220119940","13-5","Team Gibbo","stellated dodecahedrons","11","14","7","1426","79","-10","0.97","66","2","3"
"800941220119940","13-5","Team Gibbo","߷","14","18","2","1424","79","-24","0.83","50","1","5"
