"Match ID","Match Score","Team","Player","K","D","A","Damage","ADR","ADR Differ...","HLTV Rating 2.1","KAST, %","Open kills","Trade kills"
"354629957626400","11-13","Team Israel","߷","26","19","3","2724","114","+32","1.55","75","5","2"
"354629957626400","11-13","Team Israel","󠀡󠀡Chris","16","19","8","2060","86","+4","1.03","87","0","4"
"354629957626400","11-13","Team Israel","inferno resident","17","15","3","1661","69","0","0.99","62","0","0"
"354629957626400","11-13","Team Israel","Give Me My Jeff Back","14","21","3","1335","56","-26","0.73","50","3","2"
"354629957626400","11-13","Team Israel","riedymj","9","18","5","1328","55","-23","0.6","54","0","2"
"354629957626400","11-13","Team Gibbo","Hy'Te.Wouldw0w~","28","15","5","2694","112","+38","1.72","75","6","5"
"354629957626400","11-13","Team Gibbo","GibboCounterStrike","20","16","10","2112","88","+8","1.22","70","3","6"
"354629957626400","11-13","Team Gibbo","Berome","17","17","9","1991","83","+2","1.1","79","2","1"
"354629957626400","11-13","Team Gibbo","FWobbles","14","17","1","1418","59","-17","0.86","62","2","0"
"354629957626400","11-13","Team Gibbo","stellated dodecahedrons","12","17","6","1368","57","-24","0.82","66","3","1"
