"Match ID","Match Score","Team","Player","K","D","A","Damage","ADR","ADR Differ...","HLTV Rating 2.1","KAST, %","Open kills","Trade kills"
"578615657359980","2-11","Team 2","󠀡󠀡Chris","22","16","7","2144","89","+10","1.29","87","1","4"
"578615657359980","2-11","Team 2","stellated dodecahedrons","18","19","7","2014","84","-9","1.03","75","1","1"
"578615657359980","2-11","Team 2","󠀡󠀡 󠀡✪ Imma Lexus 🚗","18","19","4","1773","74","-12","1.01","62","3","2"
"578615657359980","2-11","Team 2","FWobbles","15","15","3","1546","64","-13","0.91","62","1","1"
"578615657359980","2-11","Team 2","Pam Bondi's Socks","13","17","8","1428","60","-23","0.83","75","0","1"
"578615657359980","2-11","Team 2","l.w.an.g.ha.n.5","6","21","7","898","37","-55","0.36","50","1","1"
"578615657359980","2-11","Team 1","inferno resident","36","18","11","4054","169","+83","2.24","100","6","2"
"578615657359980","2-11","Team 1","fdarg (real))","29","20","5","3234","135","+44","1.7","75","7","5"
"578615657359980","2-11","Team 1","Give Me My Jeff Back","17","20","8","2127","89","+4","1.03","66","3","3"
"578615657359980","2-11","Team 1","Berome","13","15","2","1221","51","-20","0.83","62","1","3"
"578615657359980","2-11","Team 1","S1ayer","12","19","6","1661","69","-15","0.72","58","0","3"
