"Match ID","Match Score","Team","Player","K","D","A","Damage","ADR","ADR Differ...","HLTV Rating 2.1","KAST, %","Open kills","Trade kills"
"1099638379636410","4-13","Team Dave","Hy'Te.Wouldw0w~","18","16","3","2053","121","+25","1.44","88","2","4"
"1099638379636410","4-13","Team Dave","GibboCounterStrike","14","14","1","1471","87","-1","1.16","58","2","3"
"1099638379636410","4-13","Team Dave","BerserkBoris","11","13","4","1271","75","-10","0.91","58","1","2"
"1099638379636410","4-13","Team Dave","riedymj","8","11","2","935","72","-26","0.85","53","3","1"
"1099638379636410","4-13","Team Dave","Give Me My Jeff Back","7","16","2","770","45","-48","0.47","52","1","1"
"1099638379636410","4-13","Team Dave","Berome","3","14","2","611","36","-49","0.33","41","1","0"
"1099638379636410","4-13","Team Lunzhi","󠀡󠀡 󠀡✪ Imma Lexus 🚗","26","9","3","2328","137","+74","2.09","82","1","4"
"1099638379636410","4-13","Team Lunzhi","߷","21","10","5","1958","115","+50","1.62","82","0","4"
"1099638379636410","4-13","Team Lunzhi","inferno resident","16","14","7","2031","119","+28","1.47","82","4","0"
"1099638379636410","4-13","Team Lunzhi","󠀡󠀡Chris","12","8","7","1459","86","+22","1.28","88","1","2"
"1099638379636410","4-13","Team Lunzhi","FWobbles","7","10","2","633","37","-31","0.76","76","0","1"
"1099638379636410","4-13","Team Lunzhi","stellated dodecahedrons","5","13","2","536","32","-49","0.5","58","1","1"
