"Match ID","Match Score","Team","Player","K","D","A","Damage","ADR","ADR Differ...","HLTV Rating 2.1","KAST, %","Open kills","Trade kills"
"2087026566896450","2-7","Team 2","FWobbles","19","15","3","2087","104","+16","1.36","80","2","7"
"2087026566896450","2-7","Team 2","BerserkBoris","20","17","4","1658","83","-12","1.22","64","2","3"
"2087026566896450","2-7","Team 2","Pam Bondi's Socks","15","17","5","1483","74","-15","1.02","80","2","1"
"2087026566896450","2-7","Team 2","󠀡󠀡 󠀡✪ Imma Lexus 🚗","14","17","6","1710","86","-6","0.99","80","1","2"
"2087026566896450","2-7","Team 2","Berome","7","18","5","1165","58","-32","0.57","69","0","2"
"2087026566896450","2-7","Team 1","󠀡󠀡Chris","23","9","4","2161","108","+50","1.68","75","1","5"
"2087026566896450","2-7","Team 1","inferno resident","17","17","3","1857","93","+2","1.28","75","5","2"
"2087026566896450","2-7","Team 1","fdarg (real))","17","17","4","1808","90","+6","1.24","80","4","6"
"2087026566896450","2-7","Team 1","stellated dodecahedrons","12","15","5","1363","68","-8","0.93","64","2","1"
"2087026566896450","2-7","Team 1","9inthem(real)","12","17","4","1421","71","-16","0.91","75","1","3"
